Experiment,Train Loss,Val Loss,Loss Gap,Total Params,Config Path
b128_L6_H4_E128_BS8_MI1000_D10_s1,2.136,2.1764,0.04039999999999999,1190000.0,/content/nanoGPT/b128_L6_H4_E128_BS8_MI1000_D10_s1.py
b128_L6_H4_E128_BS8_MI1000_D20_s2,2.209,2.2414,0.032399999999999984,1190000.0,/content/nanoGPT/b128_L6_H4_E128_BS8_MI1000_D20_s2.py
b128_L6_H4_E128_BS8_MI2000_D10_s3,1.6148,1.7879,0.17310000000000003,1190000.0,/content/nanoGPT/b128_L6_H4_E128_BS8_MI2000_D10_s3.py
b128_L6_H4_E128_BS8_MI2000_D20_s4,1.7344,1.89,0.15559999999999996,1190000.0,/content/nanoGPT/b128_L6_H4_E128_BS8_MI2000_D20_s4.py
b128_L6_H4_E128_BS16_MI1000_D10_s5,2.0689,2.1074,0.03849999999999998,1190000.0,/content/nanoGPT/b128_L6_H4_E128_BS16_MI1000_D10_s5.py
b128_L6_H4_E128_BS16_MI1000_D20_s6,2.1491,2.1757,0.02660000000000018,1190000.0,/content/nanoGPT/b128_L6_H4_E128_BS16_MI1000_D20_s6.py
b128_L6_H4_E128_BS16_MI2000_D10_s7,1.5519,1.7274,0.1755,1190000.0,/content/nanoGPT/b128_L6_H4_E128_BS16_MI2000_D10_s7.py
b128_L6_H4_E128_BS16_MI2000_D20_s8,1.6589,1.8286,0.16969999999999996,1190000.0,/content/nanoGPT/b128_L6_H4_E128_BS16_MI2000_D20_s8.py
b128_L6_H4_E256_BS8_MI1000_D10_s9,1.6741,1.8271,0.15300000000000002,4740000.0,/content/nanoGPT/b128_L6_H4_E256_BS8_MI1000_D10_s9.py
b128_L6_H4_E256_BS8_MI1000_D20_s10,1.786,1.906,0.11999999999999988,4740000.0,/content/nanoGPT/b128_L6_H4_E256_BS8_MI1000_D20_s10.py
b128_L6_H4_E256_BS8_MI2000_D10_s11,1.3255,1.5582,0.23270000000000013,4740000.0,/content/nanoGPT/b128_L6_H4_E256_BS8_MI2000_D10_s11.py
b128_L6_H4_E256_BS8_MI2000_D20_s12,1.4167,1.6242,0.20750000000000002,4740000.0,/content/nanoGPT/b128_L6_H4_E256_BS8_MI2000_D20_s12.py
b128_L6_H4_E256_BS16_MI1000_D10_s13,1.5965,1.7711,0.17459999999999987,4740000.0,/content/nanoGPT/b128_L6_H4_E256_BS16_MI1000_D10_s13.py
b128_L6_H4_E256_BS16_MI1000_D20_s14,1.6972,1.8593,0.1620999999999999,4740000.0,/content/nanoGPT/b128_L6_H4_E256_BS16_MI1000_D20_s14.py
b128_L6_H4_E256_BS16_MI2000_D10_s15,1.2584,1.5116,0.2532000000000001,4740000.0,/content/nanoGPT/b128_L6_H4_E256_BS16_MI2000_D10_s15.py
b128_L6_H4_E256_BS16_MI2000_D20_s16,1.3494,1.5664,0.21700000000000008,4740000.0,/content/nanoGPT/b128_L6_H4_E256_BS16_MI2000_D20_s16.py
b128_L6_H8_E128_BS8_MI1000_D10_s17,2.1477,2.1883,0.04059999999999997,1190000.0,/content/nanoGPT/b128_L6_H8_E128_BS8_MI1000_D10_s17.py
b128_L6_H8_E128_BS8_MI1000_D20_s18,2.2022,2.2337,0.03149999999999986,1190000.0,/content/nanoGPT/b128_L6_H8_E128_BS8_MI1000_D20_s18.py
b128_L6_H8_E128_BS8_MI2000_D10_s19,1.6283,1.8042,0.17589999999999995,1190000.0,/content/nanoGPT/b128_L6_H8_E128_BS8_MI2000_D10_s19.py
b128_L6_H8_E128_BS8_MI2000_D20_s20,1.7337,1.8835,0.14979999999999993,1190000.0,/content/nanoGPT/b128_L6_H8_E128_BS8_MI2000_D20_s20.py
b128_L6_H8_E128_BS16_MI1000_D10_s21,2.1019,2.1369,0.0349999999999997,1190000.0,/content/nanoGPT/b128_L6_H8_E128_BS16_MI1000_D10_s21.py
b128_L6_H8_E128_BS16_MI1000_D20_s22,2.1573,2.1817,0.024399999999999977,1190000.0,/content/nanoGPT/b128_L6_H8_E128_BS16_MI1000_D20_s22.py
b128_L6_H8_E128_BS16_MI2000_D10_s23,1.5632,1.7436,0.18040000000000012,1190000.0,/content/nanoGPT/b128_L6_H8_E128_BS16_MI2000_D10_s23.py
b128_L6_H8_E128_BS16_MI2000_D20_s24,1.6641,1.8311,0.16700000000000004,1190000.0,/content/nanoGPT/b128_L6_H8_E128_BS16_MI2000_D20_s24.py
b128_L6_H8_E256_BS8_MI1000_D10_s25,1.7093,1.8496,0.14029999999999987,4740000.0,/content/nanoGPT/b128_L6_H8_E256_BS8_MI1000_D10_s25.py
b128_L6_H8_E256_BS8_MI1000_D20_s26,1.8118,1.9266,0.11480000000000001,4740000.0,/content/nanoGPT/b128_L6_H8_E256_BS8_MI1000_D20_s26.py
b128_L6_H8_E256_BS8_MI2000_D10_s27,1.3319,1.5599,0.22799999999999998,4740000.0,/content/nanoGPT/b128_L6_H8_E256_BS8_MI2000_D10_s27.py
b128_L6_H8_E256_BS8_MI2000_D20_s28,1.4052,1.6147,0.20950000000000002,4740000.0,/content/nanoGPT/b128_L6_H8_E256_BS8_MI2000_D20_s28.py
b128_L6_H8_E256_BS16_MI1000_D10_s29,1.6307,1.7989,0.1681999999999999,4740000.0,/content/nanoGPT/b128_L6_H8_E256_BS16_MI1000_D10_s29.py
b128_L6_H8_E256_BS16_MI1000_D20_s30,1.7168,1.8723,0.15549999999999997,4740000.0,/content/nanoGPT/b128_L6_H8_E256_BS16_MI1000_D20_s30.py
b128_L6_H8_E256_BS16_MI2000_D10_s31,1.2579,1.5084,0.25049999999999994,4740000.0,/content/nanoGPT/b128_L6_H8_E256_BS16_MI2000_D10_s31.py
b128_L6_H8_E256_BS16_MI2000_D20_s32,1.3475,1.5713,0.2238,4740000.0,/content/nanoGPT/b128_L6_H8_E256_BS16_MI2000_D20_s32.py
